,1,2,3,4,5,6
0,2.547898346,1.50278696,0.993646288,2.846001955,1.075217544,1.673087626
1,2.805785219,1.484170334,1.01299878,3.295422135,1.069203118,2.122684924
2,2.701833736,1.996862381,1.390703179,3.435483929,1.09647626,2.023753347
3,2.686397617,1.444766256,1.001038513,2.603129676,1.008946598,1.722960205
4,2.66348745,1.339951204,1.131422454,3.119050078,1.068261255,1.87301737
5,3.222008937,1.364381305,1.008614665,3.502338456,1.08569871,1.973689102
6,2.70267912,1.64584263,1.166861541,3.532362592,1.141314619,1.856224554
7,2.945594123,1.472582465,1.137238886,3.877820051,1.120943215,1.715456881
