,size,intensity
462,4460,21
463,8011,45
464,2391,48
465,2962,22
466,8152,1
467,4376,1
468,6273,2
469,2427,10
470,2746,30
471,1347,11
472,1787,29
473,3642,6
474,1804,17
475,1731,108
476,3485,4
477,2708,15
478,1933,10
479,3395,1
480,3489,15
481,1854,7
482,3726,1
483,306,1
484,5075,1
485,2423,1
486,3100,52
487,2057,48
488,2100,15
489,5341,1
490,3950,1
491,2432,1
492,2949,46
493,1672,1
494,2739,7
495,2461,15
496,3715,51
497,3366,17
498,2615,2
499,2017,32
500,2320,5
501,3307,3
502,1987,15
503,1662,33
504,3307,31
505,2378,5
506,1461,1
507,2944,1
508,664,2
509,699,1
510,841,1
511,3471,31
512,258,1
513,664,1
514,255,1
515,218,1
516,4505,1
517,4213,10
518,3238,48
519,2997,31
520,3002,57
521,3036,3
522,2340,1
523,3522,1
524,5314,27
525,3117,1
526,2188,10
527,2463,11
528,3670,45
529,2805,83
530,2953,1
531,2835,1
532,2317,11
533,2169,1
534,5759,44
535,2171,12
536,1699,1
537,4570,1
538,3611,4
539,5589,35
540,1405,7
541,1608,15
542,3078,2
543,2755,1
544,5789,1
545,1419,10
546,3351,41
547,700,6
548,2217,1
549,678,1
550,2389,45
551,266,1
552,647,2
553,1547,16
554,2342,6
555,3237,5
556,1844,1
557,3746,2
558,4021,56
559,3135,47
560,2479,15
561,3461,34
562,2534,2
563,3964,5
564,2187,2
565,2913,14
566,4667,92
567,3241,5
568,2641,31
569,2466,10
570,4444,1
571,3935,96
572,2491,74
573,4259,7
574,2225,1
575,1520,1
576,2769,10
577,1950,1
578,1108,1
579,2911,119
580,2853,145
581,1133,1
582,264,0
583,3383,169
584,930,1
585,2792,41
586,2559,2
587,2742,13
588,2354,11
589,2466,5
590,4066,72
591,2950,45
592,4960,81
593,3391,92
594,2205,71
595,3333,2
596,2127,95
597,6207,70
598,2760,255
599,3657,115
600,3032,7
601,4012,67
602,3084,18
603,3277,230
604,3452,127
605,2526,89
606,3513,255
607,1618,1
608,1978,25
609,1479,1
610,3710,7
611,3778,5
612,2009,14
613,3795,43
614,3283,123
615,4323,1
616,1089,1
617,2263,1
618,1002,8
619,655,4
620,2405,1
621,476,2
622,261,0
623,3614,26
624,5487,1
625,2700,17
626,4320,1
627,2877,5
628,2374,10
629,3187,65
630,2567,62
631,2986,17
632,2295,4
633,3852,27
634,6031,54
635,4751,15
636,1451,5
637,2826,29
638,3120,63
639,3827,29
640,1553,15
641,1679,1
642,2041,2
643,5209,28
644,2489,3
645,4119,1
646,3845,20
647,2024,14
648,3059,23
649,2085,1
650,2725,36
651,2180,9
652,295,1
653,459,0
654,5134,77
655,443,1
656,2296,10
657,805,1
658,3716,10
659,2666,17
660,3682,5
661,2736,16
662,3879,56
663,4053,45
664,3916,6
665,2140,13
666,2583,7
667,4145,33
668,1827,18
669,3428,30
670,1817,15
671,3362,4
672,1597,4
673,3903,16
674,2139,20
675,2886,26
676,2527,1
677,3162,39
678,1442,1
679,595,8
680,662,0
681,392,0
682,1807,0
683,425,0
684,3276,88
685,3292,47
686,3469,26
687,2711,42
688,3244,1
689,3975,62
690,4104,101
691,4139,124
692,3125,53
693,3883,51
694,2320,1
695,4201,255
696,2595,11
697,3422,10
698,3722,157
699,1834,1
700,1778,5
701,1424,1
702,3559,111
703,1618,1
704,3839,110
705,1695,86
706,4098,96
707,3262,70
708,1354,27
709,1197,1
710,2341,41
711,2754,121
712,3779,9
713,1395,45
714,3274,255
715,1294,4
716,1430,6
717,2439,77
718,3752,61
719,1751,3
720,3510,1
721,758,72
722,1299,14
723,268,0
724,716,1
725,553,8
726,2710,17
727,4206,85
728,3274,17
729,3904,79
730,2791,28
731,4246,73
732,3268,60
733,3655,38
734,4112,1
735,3000,47
736,2385,80
737,2397,4
738,2810,73
739,2285,8
740,2932,130
741,1427,1
742,3824,153
743,3870,159
744,2898,78
745,1579,6
746,630,3
747,1369,1
748,1549,1
749,1104,6
750,771,1
751,1069,0
752,3291,154
753,3647,6
754,2724,22
755,2440,77
756,2911,10
757,3842,5
758,3246,3
759,1846,140
760,3080,8
761,1861,82
762,2547,5
763,1561,45
764,4100,143
765,4669,63
766,5548,65
767,3049,4
768,3070,45
769,3397,25
770,3312,14
771,5780,104
772,2412,35
773,2263,255
774,4233,2
775,1829,11
776,1654,42
777,3416,1
778,5677,1
779,187,255
