,size,intensity
466,2977,1
467,5138,17
468,3080,2
469,1453,20
470,3091,4
471,1851,74
472,4537,1
473,2458,27
474,1890,1
475,2708,33
476,2790,1
477,3282,1
478,4393,2
479,4111,92
480,1878,1
481,3936,51
482,3893,63
483,1144,19
484,289,0
485,2402,6
486,2121,0
487,341,1
488,3903,54
489,246,0
490,413,0
491,347,1
492,245,32
493,324,0
494,190,0
495,4170,1
496,2811,1
497,2593,22
498,2895,15
499,1713,28
500,3075,46
501,1931,6
502,3519,5
503,1613,37
504,1732,7
505,1990,1
506,2725,15
507,2881,62
508,1960,1
509,4421,92
510,1580,2
511,3426,4
512,3381,55
513,1604,3
514,1411,69
515,2104,15
516,1547,101
517,1802,72
518,2744,62
519,1171,1
520,2765,1
521,2207,5
522,2277,35
523,1131,9
524,3141,137
525,265,0
526,3285,108
527,45,43
528,887,38
529,3193,38
530,2881,1
531,2611,2
532,4404,1
533,3166,1
534,3573,12
535,3942,25
536,4903,2
537,2749,3
538,4208,11
539,2657,10
540,2985,47
541,3974,53
542,2592,2
543,1665,3
544,1739,7
545,2203,31
546,3114,2
547,3676,39
548,2438,4
549,2389,9
550,4595,22
551,2257,1
552,4264,41
553,3600,22
554,1366,9
555,2690,51
556,2511,42
557,2923,1
558,1469,17
559,1318,1
560,2577,11
561,2587,4
562,2314,34
563,3997,53
564,1725,18
565,1031,1
566,1075,2
567,2321,8
568,266,1
569,621,2
570,4692,8
571,4032,1
572,3110,1
573,3598,2
574,3532,20
575,3035,2
576,2421,1
577,2678,47
578,1991,1
579,2280,14
580,2522,3
581,1968,1
582,3902,15
583,3420,1
584,1943,10
585,3866,13
586,2389,6
587,2952,14
588,2431,1
589,2706,1
590,2696,4
591,3265,9
592,1858,1
593,2630,1
594,1862,1
595,1881,4
596,3165,42
597,2499,2
598,2595,1
599,2960,17
600,1483,2
601,828,10
602,2453,78
603,5205,21
604,2942,2
605,282,1
606,611,1
607,343,1
608,310,31
609,3951,10
610,2049,2
611,2645,15
612,4467,3
613,4348,1
614,2845,47
615,3460,24
616,1877,3
617,2096,8
618,1926,9
619,3123,5
620,3776,14
621,4088,102
622,2637,4
623,1324,5
624,3579,15
625,3156,169
626,3884,2
627,2582,31
628,1482,15
629,2482,2
630,4312,51
631,1984,55
632,2506,16
633,1466,4
634,3195,10
635,952,6
636,994,1
637,4157,42
638,4202,67
639,2216,47
640,3553,3
641,1041,0
642,3343,7
643,1183,14
644,2292,33
645,2205,47
646,4131,31
647,652,1
648,3530,31
649,2952,76
650,494,1
651,248,0
652,325,51
653,3126,49
654,3044,9
655,3175,17
656,2414,1
657,4098,8
658,2952,5
659,2494,17
660,1610,1
661,2934,41
662,1966,1
663,1653,1
664,1333,1
665,1496,1
666,2434,30
667,1495,2
668,2028,26
669,2268,6
670,2764,1
671,2269,3
672,3411,31
673,2616,10
674,2612,49
675,1322,59
676,770,1
677,1558,42
678,2408,55
679,1384,2
680,1157,21
681,1451,7
682,1878,1
683,4273,102
684,5855,1
685,3359,156
686,381,1
687,3595,56
688,1518,5
689,251,1
690,326,1
691,400,10
692,314,0
693,338,29
694,2449,1
695,4710,35
696,2169,5
697,3492,26
698,6392,35
699,4504,63
700,3159,7
701,3930,2
702,2875,2
703,3027,3
704,2307,1
705,6293,2
706,4557,139
707,2718,2
708,2350,1
709,3488,1
710,2643,54
711,2697,23
712,1507,13
713,3534,2
714,4076,70
715,1381,14
716,2011,1
717,2187,6
718,2019,4
719,1567,104
720,3311,124
721,1340,8
722,3547,12
723,3161,1
724,2273,2
725,4942,68
726,1329,20
