,size,intensity
462,2576,1
463,2687,6
464,7312,1
465,2761,93
466,3222,1
467,2265,31
468,2596,13
469,2844,9
470,2751,255
471,1793,2
472,2806,1
473,2019,1
474,9849,153
475,2356,10
476,2198,19
477,3272,36
478,4666,4
479,3785,95
480,3152,32
481,2103,1
482,2144,1
483,2675,5
484,6560,51
485,2735,7
486,3052,2
487,2615,9
488,3322,1
489,3481,1
490,1563,3
491,1826,1
492,2059,33
493,1517,6
494,6672,6
495,2602,1
496,2343,1
497,1996,29
498,5106,1
499,1048,12
500,2437,1
501,5429,1
502,2385,1
503,524,1
504,3162,255
505,1680,1
506,396,12
507,1145,1
508,402,1
509,363,1
510,916,1
511,491,1
512,186,255
513,4225,255
514,3320,1
515,3572,2
516,4158,1
517,4913,26
518,2913,1
519,3108,3
520,4242,1
521,3515,1
522,4891,17
523,3163,1
524,3030,1
525,5684,1
526,2313,19
527,3121,1
528,1947,1
529,5337,19
530,2605,1
531,5981,1
532,1816,2
533,2052,255
534,1492,7
535,2656,34
536,6148,1
537,1187,1
538,1847,1
539,3821,1
540,2123,0
541,5318,6
542,3272,1
543,3309,1
544,5715,255
545,1511,2
546,2109,0
547,590,0
548,589,73
549,1154,0
550,387,1
551,3397,1
552,4609,2
553,3188,1
554,3268,54
555,2810,31
556,3482,1
557,2057,12
558,3303,114
559,3022,109
560,2563,27
561,3491,2
562,2143,1
563,2621,8
564,2120,6
565,3018,7
566,2826,12
567,3505,3
568,3180,9
569,1997,8
570,2453,44
571,3197,12
572,1943,14
573,2518,2
574,2291,6
575,2276,62
576,2004,34
577,2904,8
578,2079,1
579,1963,8
580,2859,1
581,1928,1
582,2530,19
583,2889,39
584,1627,1
585,2706,1
586,1921,4
587,2638,1
588,1459,1
589,2228,5
590,3178,1
591,2357,1
592,3226,9
593,2070,28
594,2663,1
595,1657,5
596,1761,18
597,1793,5
598,2359,1
599,2195,8
600,3230,11
601,1955,21
602,2701,6
603,2037,1
604,2260,1
605,1782,3
606,3272,60
607,2079,3
608,1777,2
609,2006,72
610,1529,5
611,2464,45
612,1590,1
613,2113,47
