,size,intensity
463,4761,55
464,3147,1
465,3878,98
466,2289,5
467,2269,75
468,2630,7
469,4555,1
470,4921,95
471,2809,10
472,3857,109
473,5651,1
474,1757,3
475,1700,92
476,2457,5
477,2937,13
478,4307,149
479,4215,104
480,5804,8
481,5150,79
482,1657,1
483,3330,119
484,1080,1
485,4544,75
486,1641,150
487,1899,102
488,4069,85
489,5235,1
490,6239,179
491,3041,38
492,630,65
493,3403,74
494,649,80
495,5917,40
496,4118,69
497,1192,46
498,526,47
499,560,1
500,780,1
501,3426,161
502,721,60
503,562,3
504,192,255
505,194,112
506,277,14
507,5981,61
508,3390,34
509,3400,146
510,3160,1
511,3627,11
512,7020,1
513,3861,37
514,2908,1
515,4183,1
516,7343,118
517,1939,9
518,6915,44
519,3154,4
520,1917,4
521,4238,114
522,2287,19
523,4908,1
524,5658,1
525,4598,10
526,1438,2
527,6215,85
528,5634,131
529,3076,80
530,4976,137
531,2733,47
532,4700,80
533,4039,93
534,5125,12
535,2998,9
536,1868,31
537,4341,137
538,4025,120
539,2188,13
540,4747,54
541,2881,94
542,1041,114
543,2456,130
544,2790,96
545,3433,88
546,1522,1
547,1091,69
548,347,80
549,414,1
550,400,47
551,1235,1
552,1224,82
553,846,3
554,1913,55
555,3810,79
556,4091,78
557,2141,88
558,737,18
559,1928,70
560,174,45
561,375,72
562,186,255
563,5080,1
564,4579,1
565,4592,90
566,3153,4
567,6378,171
568,3988,1
569,6276,163
570,2939,1
571,2854,2
572,5260,198
573,3036,75
574,2627,66
575,2014,1
576,2009,255
577,4392,139
578,2820,9
579,5615,167
580,1739,11
581,2484,8
582,2347,10
583,2034,23
584,1681,91
585,1516,8
586,2598,1
587,2063,83
588,5848,108
589,2440,3
590,3047,6
591,1389,146
592,1258,109
593,3786,36
594,1799,5
595,2105,5
596,2020,33
597,1315,2
598,3910,84
599,1860,44
600,748,71
601,3607,73
602,1145,40
603,557,53
604,2464,133
605,1395,89
606,1417,27
607,950,55
608,5423,95
609,5280,92
610,452,4
611,4329,98
612,2579,86
613,1279,65
614,894,1
615,1046,129
616,186,255
617,2399,110
618,823,6
619,1863,48
620,713,3
621,267,69
622,5624,102
623,1092,1
624,152,83
625,238,7
626,397,88
627,309,66
628,4052,1
629,3440,34
630,4656,1
631,3613,180
632,3273,77
633,3360,1
634,2416,90
635,4472,1
636,5484,8
637,5848,136
638,2356,114
639,4696,7
640,2408,37
641,5111,1
642,4383,63
643,1780,4
644,2467,19
645,4661,146
646,1159,1
647,3096,83
648,2615,132
649,2157,9
650,4506,1
651,5276,58
652,2954,110
653,4353,124
654,1243,51
655,3214,15
656,1679,16
657,6419,71
658,5144,13
659,3819,80
660,1005,66
661,1034,35
662,2539,97
663,1220,92
664,3353,74
665,1736,195
666,4209,1
667,625,5
668,723,74
669,3391,143
670,2463,128
671,637,1
672,6056,95
673,928,70
674,2687,72
675,277,1
676,186,255
677,2099,167
678,386,79
679,3165,1
680,3211,4
681,4744,1
682,3805,5
683,8149,217
684,2650,5
685,7418,184
686,7282,118
687,3632,12
688,1856,1
689,2222,8
690,4544,1
691,2842,92
692,4626,1
693,2847,136
694,5912,189
695,1263,2
696,5696,191
697,3150,1
698,1398,1
699,6324,123
700,2584,4
701,2972,96
702,1762,3
703,3187,86
704,2012,125
705,1042,6
706,1685,4
707,1341,7
708,4357,20
709,5750,8
710,3861,101
711,3150,66
712,4040,63
713,3054,79
714,2830,45
715,2685,1
716,3996,100
717,1435,1
718,4264,40
719,1033,106
720,2566,57
721,3441,59
722,4063,1
723,804,13
724,4574,138
725,1076,69
726,4728,15
727,2042,60
728,720,1
729,4098,125
730,2781,51
731,766,1
732,677,82
733,3019,63
734,397,3
735,2309,164
736,354,23
737,237,120
738,201,255
739,3534,167
740,2485,1
