,size,intensity
461,1548,1
462,4875,99
463,1612,3
464,5766,1
465,2722,26
466,1821,1
467,4205,26
468,446,1
469,383,40
470,190,255
471,4061,48
472,1948,12
473,3070,3
474,1822,2
475,2193,1
476,1899,1
477,1683,0
478,1943,15
479,2018,86
480,1777,4
481,2300,30
482,3695,1
483,1453,1
484,2440,4
485,3253,0
486,1535,1
487,1959,99
488,1303,1
489,1487,2
490,1755,2
491,1828,52
492,1560,1
493,2254,0
494,2367,2
495,1406,5
496,1137,1
497,1551,4
498,1457,16
499,3085,3
500,2347,30
501,1577,7
502,1658,44
503,1182,0
504,1543,0
505,1629,0
506,1119,2
507,1585,0
508,1653,1
509,1182,1
510,4692,130
511,3530,60
512,782,2
513,278,0
514,440,0
515,190,0
516,389,0
517,900,15
518,4703,1
519,4534,23
520,2877,14
521,2408,4
522,2414,1
523,1965,10
524,2132,6
525,2832,4
526,2390,0
527,5016,20
528,2037,7
529,1446,1
530,1996,32
531,1773,1
532,2150,12
533,1773,29
534,1684,2
535,1994,2
536,1657,25
537,2918,89
538,1500,2
539,3016,1
540,2098,6
541,1351,1
542,1908,84
543,1675,3
544,1551,1
545,1435,2
546,2495,2
547,1333,1
548,1216,4
549,1103,1
550,1751,1
551,2089,1
552,1351,18
553,4241,22
554,2012,22
555,2018,5
556,1263,6
557,2744,23
558,1372,16
559,993,17
560,2012,3
561,1639,18
562,618,41
563,2247,4
564,1035,0
565,248,0
566,741,0
567,3839,1
568,2434,0
569,3272,89
570,3076,23
571,2171,3
572,4005,24
573,4076,1
574,2260,3
575,1883,1
576,3927,11
577,2397,2
578,2333,1
579,3286,18
580,2908,5
581,2056,1
582,2763,11
583,1945,5
584,3013,20
585,1702,0
586,1790,1
587,3554,1
588,2651,35
589,1690,1
590,2162,9
591,2351,3
592,2787,49
593,1448,1
594,2037,1
595,1843,1
596,1894,14
597,1318,1
598,2183,16
599,1277,1
600,1389,1
601,1943,28
602,1929,40
603,1405,0
604,2356,6
605,1071,0
606,1801,1
607,1312,9
608,1558,1
609,1413,18
610,5112,49
611,1918,18
612,2511,80
613,454,12
614,888,51
615,2080,27
616,5329,8
617,3290,63
618,1379,4
619,282,24
620,256,29
621,3140,0
622,2353,1
623,2164,16
624,2048,7
625,3443,1
626,3383,1
627,3068,44
628,2874,23
629,4296,2
630,2777,12
631,2009,58
632,2606,2
633,2741,0
634,2269,1
635,2567,1
636,2480,25
637,2232,17
638,1507,4
639,3096,17
640,2440,12
641,2261,0
642,3926,16
643,1820,1
644,3664,2
645,1622,1
646,2803,1
647,1114,1
648,4377,1
649,1339,1
650,2083,32
651,4022,27
652,1701,6
653,3906,13
654,1469,1
655,951,65
656,2014,3
657,1131,1
658,781,1
659,573,62
660,654,55
661,2514,2
662,1052,33
663,3831,92
664,3731,4
665,2530,1
666,3621,4
667,3437,8
668,2834,9
669,2435,9
670,2199,0
671,2000,1
672,906,152
673,1629,7
674,1294,91
675,2150,1
676,4178,30
677,4458,134
678,3450,128
679,259,1
680,591,23
681,186,255
682,1129,0
683,4304,1
684,3702,4
685,2889,7
686,3766,2
687,2329,4
688,4940,0
689,3721,8
690,3286,57
691,2752,11
692,3799,24
693,1718,1
694,1889,1
695,2454,6
696,2294,11
697,2275,2
698,1880,3
699,4098,36
700,3067,157
701,4011,83
702,1789,84
703,4282,46
